input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
7.0,0.30000000000000004,-0.5412333769168767,-1.8928869770399674,-3.624273440261991,-0.39754429474357306,-0.9873246206611812,-4.053526938767058
7.0,0.4,-0.4829037508972379,-2.469377735035353,-3.6310312555503685,-0.44157163505681174,-0.8447901851347792,-4.109487337555767
7.0,0.5,-0.4295057399807165,-2.9991785778725077,-3.6430509513886244,-0.4860369850677709,-0.7209189476206808,-4.157246828261685
7.0,0.6000000000000001,-0.3800071456573573,-3.4706170267618734,-3.660085154746617,-0.5307176814212748,-0.617505485083127,-4.196468285882238
7.0,0.7000000000000001,-0.33364503859371597,-3.8720206029138904,-3.6817950719967274,-0.5753904025848942,-0.5360752020373392,-4.226872719845571
7.0,0.8,-0.28984332929310935,-4.191716827539002,-3.7077616429558433,-0.6198330288641607,-0.47784690836429977,-4.248242578059756
7.0,0.9,-0.24815887198885836,-4.418033221847653,-3.737498886483113,-0.6638264810564427,-0.4437024716262137,-4.260424339710339
7.0,1.0,-0.20824520726337767,-4.539297307050282,-3.7704688495223904,-0.7071565195148016,-0.434164596664365,-4.2633303516374745
8.0,0.0,-0.8203571037891516,-0.0,-2.381484959090962,0.4917865384502549,-2.592427439951229,-2.937071277718543
8.0,0.1,-0.7295318530124955,-0.6439446935254654,-2.3856480731217404,0.4436181053588062,-2.4762347938311864,-2.9965245759348087
8.0,0.2,-0.6509930565552623,-1.2762635049210824,-2.404586304757621,0.3929781215114796,-2.369367248389443,-3.0509592677215425
8.0,0.30000000000000004,-0.5814884176858397,-1.8853305520570043,-2.4378794745754444,0.34011570826634885,-2.273254316381536,-3.100004390307366
8.0,0.4,-0.5188204386125985,-2.4595199528033818,-2.4848059359685974,0.28529336831993246,-2.189219175822042,-3.143321177158854
8.0,0.5,-0.4614508708813978,-2.987205825030368,-2.544368567847486,0.2287848144401139,-2.118448507430399,-3.1806069516079907
8.0,0.6000000000000001,-0.4082707446764614,-3.4567622866081154,-2.6153299891911432,0.17087269277633654,-2.0619646879671243,-3.2115986477225786
8.0,0.7000000000000001,-0.35846038665569446,-3.8565634554067736,-2.6962552591990514,0.11184622891641105,-2.0206012467540373,-3.236075900172759
8.0,0.8,-0.311400859805678,-4.174983449296496,-2.785560007253219,0.05199882082185503,-1.9949824088105101,-3.253863653833885
8.0,0.9,-0.26661605873147426,-4.4003963861474364,-2.881561743921517,-0.008374389166406093,-1.985507424909053,-3.2648342484868467
